Number,EvenorOdd,Category
48,Even,Odd<50
193,Odd,Other
402,Even,Even>200
414,Even,Even>200
316,Even,Even>200
121,Odd,Other
107,Odd,Other
378,Even,Even>200
265,Odd,Other
152,Even,Other
376,Even,Even>200
275,Odd,Other
322,Even,Even>200
330,Even,Even>200
382,Even,Even>200
398,Even,Even>200
150,Even,Other
13,Odd,Odd<50
226,Even,Even>200
11,Odd,Odd<50
54,Even,Other
471,Odd,Other
367,Odd,Other
463,Odd,Other
359,Odd,Other
253,Odd,Other
445,Odd,Other
213,Odd,Other
265,Odd,Other
328,Even,Even>200
65,Odd,Other
115,Odd,Other
425,Odd,Other
66,Even,Other
333,Odd,Other
490,Even,Even>200
126,Even,Other
196,Even,Other
442,Even,Even>200
487,Odd,Other
386,Even,Even>200
130,Even,Other
371,Odd,Other
185,Odd,Other
384,Even,Even>200
250,Even,Even>200
211,Odd,Other
496,Even,Even>200
457,Odd,Other
451,Odd,Other
